Incidence Rate Report for United States by County

"Ovary, 2011-2015"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Iron County, Utah(7)",49021,***,16.3 ,9.2, 26.4,3,*,*,*,*
"Somerset County, Pennsylvania(6,10)",42111,***,16.2 ,11.6, 22.3,9,stable,5.5 ,-30.8, 61.0
"Tioga County, Pennsylvania(6,10)",42117,***,16.2 ,10, 25.2,5,stable,-6.8 ,-49.4, 71.9
"Dare County, North Carolina(6,10)",37055,***,16.2 ,10, 25.6,4,stable,-5.2 ,-37.9, 45.0
"Rockingham County, Virginia(6,10)",51165,***,16.2 ,11.5, 22.3,8,stable,-10.1 ,-37.5, 29.4
"Midland County, Texas(6,10)",48329,***,16.2 ,12.3, 20.9,12,stable,13.3 ,-20.3, 61.1
"Cherokee County, Texas(6,10)",48073,***,16.1 ,10.1, 24.5,5,stable,9.2 ,-46.3, 121.9
"Scott County, Kentucky(7)",21209,***,16.1 ,9.9, 24.8,4,*,*,*,*
"Grayson County, Texas(6,10)",48181,***,16.1 ,12.2, 20.9,13,stable,-7.0 ,-19.2, 7.1
"Bannock County, Idaho(6,10)",16005,***,16.1 ,11, 22.7,7,stable,2.4 ,-28.7, 47.1
"Addison County, Vermont(6,10)",50001,***,16 ,9.7, 25.5,4,stable,5.3 ,-36.6, 75.0
"Vermilion County, Illinois(6,10)",17183,***,16 ,11.4, 22.1,8,stable,-11.8 ,-38.7, 26.8
"Santa Fe County, New Mexico(7,8)",35049,***,15.9 ,12.5, 20.1,17,stable,1.1 ,-0.3, 2.4
"Warren County, Iowa(7,8)",19181,***,15.9 ,10, 24.3,5,stable,-0.4 ,-3.2, 2.5
"Effingham County, Illinois(6,10)",17049,***,15.9 ,8.9, 26.3,3,*,*,*,*
"San Patricio County, Texas(6,10)",48409,***,15.9 ,10.5, 23,6,stable,-4.8 ,-40.3, 51.7
"Adams County, Illinois(6,10)",17001,***,15.8 ,10.8, 22.5,7,stable,-7.6 ,-23.1, 11.0
"Victoria County, Texas(6,10)",48469,***,15.8 ,11.2, 21.7,8,stable,5.7 ,-26.3, 51.4
"Cherokee County, North Carolina(6,10)",37039,***,15.8 ,8.9, 27,4,stable,-5.1 ,-41.3, 53.3
"Tuscaloosa County, Alabama(6,10)",01125,***,15.8 ,12.5, 19.7,16,falling,-17.2 ,-26.2, -7.0
"Clark County, Kentucky(7)",21049,***,15.8 ,9.2, 25.5,4,*,*,*,*
"Barry County, Missouri(6,10)",29009,***,15.7 ,8.9, 25.8,4,stable,-17.8 ,-52.5, 42.4
"Oneida County, New York(6,10)",36065,***,15.6 ,12.8, 18.9,24,stable,10.6 ,-9.7, 35.6
"Cherokee County, Alabama(6,10)",01019,***,15.6 ,8.9, 26.5,3,*,*,*,*
"Auglaize County, Ohio(6,10)",39011,***,15.6 ,9.6, 24.1,4,stable,4.9 ,-35.1, 69.6
"Ontario County, New York(6,10)",36069,***,15.5 ,11.7, 20.4,12,stable,-11.2 ,-34.1, 19.7
"Clearfield County, Pennsylvania(6,10)",42033,***,15.5 ,11.2, 21.2,9,stable,-8.1 ,-46.7, 58.6
"Benton County, Oregon(6,10)",41003,***,15.5 ,10.8, 21.7,8,stable,11.5 ,-25.6, 67.1
"Thomas County, Georgia(7,8)",13275,***,15.5 ,9.6, 23.7,5,falling,-23.5 ,-37.1, -7.0
"Marion County, Florida(6,10)",12083,***,15.5 ,13.1, 18.1,39,stable,-4.9 ,-25.2, 21.1
"Linn County, Oregon(6,10)",41043,***,15.4 ,11.6, 20.2,12,stable,5.4 ,-13.4, 28.2
"Kay County, Oklahoma(6,10)",40071,***,15.4 ,9, 24.6,4,stable,-15.2 ,-43.8, 28.0
"Ionia County, Michigan(6,10)",26067,***,15.4 #  ,9.7, 23.1,5,stable,15.3 ,-38.5, 115.9
"Putnam County, Ohio(6,10)",39137,***,15.4 ,8.8, 25.4,3,*,*,*,*
"Ozaukee County, Wisconsin(6,10)",55089,***,15.4 ,10.9, 21.2,8,stable,3.9 ,-32.0, 58.6
"Livingston County, New York(6,10)",36051,***,15.3 ,10.2, 22.3,6,stable,15.3 ,-24.2, 75.4
"Marin County, California(7,8)",06041,***,15.3 ,12.8, 18.3,29,stable,-1.1 ,-2.4, 0.2
"Monroe County, Mississippi(6,10)",28095,***,15.3 ,9.1, 24.4,4,stable,-1.1 ,-32.9, 45.7
"Mason County, Washington(7)",53045,***,15.3 ,10, 22.5,6,*,*,*,*
"Mercer County, Ohio(6,10)",39107,***,15.3 ,9, 24.4,4,stable,1.5 ,-36.7, 62.7
